alpha,beta,repair_rate,repaired,n_glitch,normal_break_rate,normal_broken,n_normal
1.0,0.25,0.002,1,500,0.0,0,500
1.0,0.5,0.002,1,500,0.0,0,500
1.0,1.0,0.008,4,500,0.0,0,500
1.0,1.5,0.018,9,500,0.0,0,500
1.0,2.0,0.018,9,500,0.0,0,500
1.0,4.0,0.026,13,500,0.002,1,500
2.0,0.25,0.034,17,500,0.002,1,500
2.0,0.5,0.032,16,500,0.002,1,500
2.0,1.0,0.044,22,500,0.002,1,500
2.0,1.5,0.046,23,500,0.0,0,500
2.0,2.0,0.046,23,500,0.0,0,500
2.0,4.0,0.052,26,500,0.002,1,500
4.0,0.25,0.054,27,500,0.002,1,500
4.0,0.5,0.058,29,500,0.002,1,500
4.0,1.0,0.066,33,500,0.002,1,500
4.0,1.5,0.068,34,500,0.002,1,500
4.0,2.0,0.07,35,500,0.0,0,500
4.0,4.0,0.064,32,500,0.002,1,500
8.0,0.25,0.072,36,500,0.002,1,500
8.0,0.5,0.07,35,500,0.002,1,500
8.0,1.0,0.076,38,500,0.002,1,500
8.0,1.5,0.074,37,500,0.002,1,500
8.0,2.0,0.074,37,500,0.002,1,500
8.0,4.0,0.076,38,500,0.002,1,500
16.0,0.25,0.072,36,500,0.002,1,500
16.0,0.5,0.07,35,500,0.002,1,500
16.0,1.0,0.076,38,500,0.002,1,500
16.0,1.5,0.074,37,500,0.002,1,500
16.0,2.0,0.072,36,500,0.002,1,500
16.0,4.0,0.074,37,500,0.002,1,500
