alpha,beta,repair_rate,repaired,n_glitch,normal_break_rate,normal_broken,n_normal
1.0,0.25,0.016,8,500,0.0,0,500
1.0,0.5,0.032,16,500,0.0,0,500
1.0,1.0,0.042,21,500,0.002,1,500
1.0,1.5,0.064,32,500,0.002,1,500
1.0,2.0,0.072,36,500,0.004,2,500
1.0,4.0,0.108,54,500,0.006,3,500
2.0,0.25,0.068,34,500,0.006,3,500
2.0,0.5,0.068,34,500,0.006,3,500
2.0,1.0,0.07,35,500,0.006,3,500
2.0,1.5,0.086,43,500,0.01,5,500
2.0,2.0,0.096,48,500,0.012,6,500
2.0,4.0,0.128,64,500,0.014,7,500
4.0,0.25,0.096,48,500,0.008,4,500
4.0,0.5,0.096,48,500,0.01,5,500
4.0,1.0,0.102,51,500,0.012,6,500
4.0,1.5,0.1,50,500,0.014,7,500
4.0,2.0,0.1,50,500,0.014,7,500
4.0,4.0,0.126,63,500,0.02,10,500
8.0,0.25,0.106,53,500,0.012,6,500
8.0,0.5,0.106,53,500,0.01,5,500
8.0,1.0,0.106,53,500,0.012,6,500
8.0,1.5,0.112,56,500,0.014,7,500
8.0,2.0,0.106,53,500,0.014,7,500
8.0,4.0,0.128,64,500,0.02,10,500
16.0,0.25,0.112,56,500,0.014,7,500
16.0,0.5,0.108,54,500,0.012,6,500
16.0,1.0,0.11,55,500,0.014,7,500
16.0,1.5,0.11,55,500,0.016,8,500
16.0,2.0,0.106,53,500,0.018,9,500
16.0,4.0,0.132,66,500,0.022,11,500
